,t,p,v,replicate,alpha,error
0,10000,1.3,0.4,1,-1.13336,2.299
0,10000,1.3,0.425,1,-1.10587,1.8078
0,10000,1.3,0.45,1,-1.09025,1.8659
0,10000,1.3,0.475,1,-1.05722,1.3173
0,10000,1.3,0.5,1,-1.06291,1.4241
0,10000,1.4,0.0,1,-1.19756,83.547
0,10000,1.4,0.025,1,-2.12184,287.5692
0,10000,1.4,0.05,1,-1.8575,86.8642
0,10000,1.4,0.075,1,-1.65035,38.2254
0,10000,1.4,0.1,1,-1.57978,29.356
0,10000,1.4,0.125,1,-1.45229,13.9878
0,10000,1.4,0.15,1,-1.42972,12.0486
0,10000,1.4,0.175,1,-1.4078,11.4192
0,10000,1.4,0.2,1,-1.34705,8.261
0,10000,1.4,0.225,1,-1.3062,6.6069
0,10000,1.4,0.25,1,-1.2897,6.4707
0,10000,1.4,0.275,1,-1.23304,4.1027
0,10000,1.4,0.3,1,-1.22477,3.5452
0,10000,1.4,0.325,1,-1.2228,3.9234
0,10000,1.4,0.35,1,-1.15086,2.6055
0,10000,1.4,0.375,1,-1.17287,2.9384
0,10000,1.4,0.4,1,-1.13242,2.1855
0,10000,1.4,0.425,1,-1.11097,1.9314
0,10000,1.4,0.45,1,-1.08672,1.4568
0,10000,1.4,0.475,1,-1.07534,1.4151
0,10000,1.4,0.5,1,-1.07025,1.4058
0,10000,1.5,0.0,1,-1.62876,196.0105
0,10000,1.5,0.025,1,-2.12517,287.2764
0,10000,1.5,0.05,1,-1.81411,65.847
0,10000,1.5,0.075,1,-1.69856,51.5809
0,10000,1.5,0.1,1,-1.59803,26.2497
0,10000,1.5,0.125,1,-1.48459,14.8929
0,10000,1.5,0.15,1,-1.45019,12.8581
0,10000,1.5,0.175,1,-1.37485,9.1392
0,10000,1.5,0.2,1,-1.36622,8.5587
0,10000,1.5,0.225,1,-1.31355,6.7943
0,10000,1.5,0.25,1,-1.25813,4.5517
0,10000,1.5,0.275,1,-1.25578,4.5819
0,10000,1.5,0.3,1,-1.21273,3.144
0,10000,1.5,0.325,1,-1.23762,4.2985
0,10000,1.5,0.35,1,-1.18347,2.9101
0,10000,1.5,0.375,1,-1.16261,2.3334
0,10000,1.5,0.4,1,-1.15147,2.4738
0,10000,1.5,0.425,1,-1.12534,1.7343
0,10000,1.5,0.45,1,-1.11692,1.7698
0,10000,1.5,0.475,1,-1.08626,1.5264
0,10000,1.5,0.5,1,-1.08192,1.5183
0,10000,1.6,0.0,1,-1.34501,118.186
0,10000,1.6,0.025,1,-2.1429,306.5837
0,10000,1.6,0.05,1,-1.80221,65.3152
0,10000,1.6,0.075,1,-1.77711,62.6465
0,10000,1.6,0.1,1,-1.55751,19.1781
0,10000,1.6,0.125,1,-1.55188,24.2835
0,10000,1.6,0.15,1,-1.4807,15.181
0,10000,1.6,0.175,1,-1.39341,9.977
0,10000,1.6,0.2,1,-1.33148,6.3836
0,10000,1.6,0.225,1,-1.35496,7.9989
0,10000,1.6,0.25,1,-1.2895,5.3415
0,10000,1.6,0.275,1,-1.24722,4.4193
0,10000,1.6,0.3,1,-1.23061,3.5569
0,10000,1.6,0.325,1,-1.20137,2.8101
0,10000,1.6,0.35,1,-1.19678,3.2263
0,10000,1.6,0.375,1,-1.19496,3.4367
0,10000,1.6,0.4,1,-1.17305,2.9862
0,10000,1.6,0.425,1,-1.10146,1.2791
0,10000,1.6,0.45,1,-1.10819,1.4296
0,10000,1.6,0.475,1,-1.10658,1.7311
0,10000,1.6,0.5,1,-1.08022,1.4196
0,10000,1.7,0.0,1,-1.57121,175.0029
0,10000,1.7,0.025,1,-2.23336,336.4387
0,10000,1.7,0.05,1,-1.93865,118.9678
0,10000,1.7,0.075,1,-1.77098,58.698
0,10000,1.7,0.1,1,-1.6271,35.7927
0,10000,1.7,0.125,1,-1.50088,13.5715
0,10000,1.7,0.15,1,-1.44182,11.4375
0,10000,1.7,0.175,1,-1.46295,13.1053
0,10000,1.7,0.2,1,-1.34516,7.348
0,10000,1.7,0.225,1,-1.31624,5.4059
0,10000,1.7,0.25,1,-1.23433,1.7889
0,10000,1.7,0.275,1,-1.26899,4.3253
0,10000,1.7,0.3,1,-1.22454,3.4057
0,10000,1.7,0.325,1,-1.19941,2.9369
0,10000,1.7,0.35,1,-1.21475,3.6254
0,10000,1.7,0.375,1,-1.18301,3.0986
0,10000,1.7,0.4,1,-1.16567,2.468
0,10000,1.7,0.425,1,-1.13257,2.0514
0,10000,1.7,0.45,1,-1.12485,2.1005
0,10000,1.7,0.475,1,-1.14476,2.3284
0,10000,1.7,0.5,1,-1.09469,1.6082
0,10000,1.8,0.0,1,-1.8638,319.8107
0,10000,1.8,0.025,1,-2.16658,344.1949
0,10000,1.8,0.05,1,-1.93913,114.1782
0,10000,1.8,0.075,1,-1.83938,82.6937
0,10000,1.8,0.1,1,-1.66695,39.281
0,10000,1.8,0.125,1,-1.53,15.5696
0,10000,1.8,0.15,1,-1.48828,13.0329
0,10000,1.8,0.175,1,-1.43208,12.198
0,10000,1.8,0.2,1,-1.42369,12.5978
0,10000,1.8,0.225,1,-1.34156,7.4654
0,10000,1.8,0.25,1,-1.30263,5.6833
0,10000,1.8,0.275,1,-1.26435,4.512
0,10000,1.8,0.3,1,-1.25965,4.898
0,10000,1.8,0.325,1,-1.26021,4.9883
0,10000,1.8,0.35,1,-1.20802,3.2105
0,10000,1.8,0.375,1,-1.18363,2.52
0,10000,1.8,0.4,1,-1.1749,2.7659
0,10000,1.8,0.425,1,-1.12782,1.5968
0,10000,1.8,0.45,1,-1.12128,1.8202
0,10000,1.8,0.475,1,-1.12979,2.0637
0,10000,1.8,0.5,1,-1.1377,2.1374
0,10000,1.9,0.0,1,-1.59733,187.9807
0,10000,1.9,0.025,1,-2.13287,270.1809
0,10000,1.9,0.05,1,-1.95696,109.6841
0,10000,1.9,0.075,1,-1.75898,46.8595
0,10000,1.9,0.1,1,-1.62914,27.4303
0,10000,1.9,0.125,1,-1.5656,21.6961
0,10000,1.9,0.15,1,-1.49013,15.3159
0,10000,1.9,0.175,1,-1.50781,18.2087
0,10000,1.9,0.2,1,-1.37152,7.1316
0,10000,1.9,0.225,1,-1.36915,8.1235
0,10000,1.9,0.25,1,-1.29294,4.546
0,10000,1.9,0.275,1,-1.30099,6.0807
0,10000,1.9,0.3,1,-1.27113,4.6263
0,10000,1.9,0.325,1,-1.21529,3.0343
0,10000,1.9,0.35,1,-1.21357,3.178
0,10000,1.9,0.375,1,-1.18203,1.5972
0,10000,1.9,0.4,1,-1.16505,2.0408
0,10000,1.9,0.425,1,-1.17758,2.686
0,10000,1.9,0.45,1,-1.16374,2.4876
0,10000,1.9,0.475,1,-1.13734,2.1634
0,10000,1.9,0.5,1,-1.10682,1.0196
0,10000,2.0,0.0,1,-1.79727,288.4609
0,10000,2.0,0.025,1,-2.21319,284.4717
0,10000,2.0,0.05,1,-2.01344,161.2123
0,10000,2.0,0.075,1,-1.81549,73.9832
0,10000,2.0,0.1,1,-1.6367,28.7536
0,10000,2.0,0.125,1,-1.56356,20.567
0,10000,2.0,0.15,1,-1.4934,12.9351
0,10000,2.0,0.175,1,-1.3941,7.8162
0,10000,2.0,0.2,1,-1.38913,8.793
0,10000,2.0,0.225,1,-1.37713,8.7306
0,10000,2.0,0.25,1,-1.36285,8.1019
0,10000,2.0,0.275,1,-1.34406,7.5284
0,10000,2.0,0.3,1,-1.30218,5.9963
0,10000,2.0,0.325,1,-1.2602,4.2244
0,10000,2.0,0.35,1,-1.22017,3.234
0,10000,2.0,0.375,1,-1.24404,4.3215
0,10000,2.0,0.4,1,-1.18312,2.3555
0,10000,2.0,0.425,1,-1.18587,2.9053
0,10000,2.0,0.45,1,-1.13291,1.6426
0,10000,2.0,0.475,1,-1.13337,1.8487
0,10000,2.0,0.5,1,-1.14009,2.235
0,10000,1.0,0.0,2,-1.34781,109.4328
0,10000,1.0,0.025,2,-2.03043,237.6801
0,10000,1.0,0.05,2,-1.80817,81.6248
0,10000,1.0,0.075,2,-1.60712,31.2972
0,10000,1.0,0.1,2,-1.52698,20.3695
0,10000,1.0,0.125,2,-1.39764,11.4314
0,10000,1.0,0.15,2,-1.40108,11.6376
0,10000,1.0,0.175,2,-1.32425,7.4316
0,10000,1.0,0.2,2,-1.28345,6.0562
0,10000,1.0,0.225,2,-1.28358,6.338
0,10000,1.0,0.25,2,-1.21987,4.1555
0,10000,1.0,0.275,2,-1.17811,3.0851
0,10000,1.0,0.3,2,-1.17426,3.1852
0,10000,1.0,0.325,2,-1.1619,3.0943
0,10000,1.0,0.35,2,-1.1149,2.2582
0,10000,1.0,0.375,2,-1.09201,1.779
0,10000,1.0,0.4,2,-1.08837,1.856
0,10000,1.0,0.425,2,-1.0473,1.3523
0,10000,1.0,0.45,2,-1.04568,1.3559
0,10000,1.0,0.475,2,-1.04416,1.38
0,10000,1.0,0.5,2,-1.01895,1.0821
0,10000,1.1,0.0,2,-1.22007,85.5595
0,10000,1.1,0.025,2,-2.08893,261.5534
0,10000,1.1,0.05,2,-1.77533,74.2194
0,10000,1.1,0.075,2,-1.65289,41.9153
0,10000,1.1,0.1,2,-1.5378,21.7453
0,10000,1.1,0.125,2,-1.44546,14.6411
0,10000,1.1,0.15,2,-1.41048,12.1042
0,10000,1.1,0.175,2,-1.34606,7.9295
0,10000,1.1,0.2,2,-1.31125,7.4873
0,10000,1.1,0.225,2,-1.25208,4.7936
0,10000,1.1,0.25,2,-1.21722,3.7932
0,10000,1.1,0.275,2,-1.1951,3.6893
0,10000,1.1,0.3,2,-1.1715,3.0327
0,10000,1.1,0.325,2,-1.15218,2.8857
0,10000,1.1,0.35,2,-1.12268,2.0861
0,10000,1.1,0.375,2,-1.09942,1.9232
0,10000,1.1,0.4,2,-1.1001,1.9035
0,10000,1.1,0.425,2,-1.06652,1.3324
0,10000,1.1,0.45,2,-1.04879,1.3322
0,10000,1.1,0.475,2,-1.0406,1.2452
0,10000,1.1,0.5,2,-1.01711,1.0344
0,10000,1.2,0.0,2,-1.47832,134.9932
0,10000,1.2,0.025,2,-2.10981,282.2418
0,10000,1.2,0.05,2,-1.77498,60.1291
0,10000,1.2,0.075,2,-1.71034,52.9815
0,10000,1.2,0.1,2,-1.55736,21.3697
0,10000,1.2,0.125,2,-1.46232,15.9974
0,10000,1.2,0.15,2,-1.41385,12.2633
0,10000,1.2,0.175,2,-1.36275,9.8455
0,10000,1.2,0.2,2,-1.3339,8.4712
0,10000,1.2,0.225,2,-1.23183,3.6532
0,10000,1.2,0.25,2,-1.26548,5.4912
0,10000,1.2,0.275,2,-1.19712,3.5667
0,10000,1.2,0.3,2,-1.20135,3.6613
0,10000,1.2,0.325,2,-1.15159,2.4759
0,10000,1.2,0.35,2,-1.14851,2.5099
0,10000,1.2,0.375,2,-1.14235,2.4686
0,10000,1.2,0.4,2,-1.122,2.1993
0,10000,1.2,0.425,2,-1.10246,1.786
0,10000,1.2,0.45,2,-1.08126,1.5711
0,10000,1.2,0.475,2,-1.04397,1.1731
0,10000,1.2,0.5,2,-1.05525,1.4414
0,10000,1.3,0.0,2,-1.54475,169.0312
0,10000,1.3,0.025,2,-2.09688,270.1312
0,10000,1.3,0.05,2,-1.91791,127.8506
0,10000,1.3,0.075,2,-1.62438,32.5695
0,10000,1.3,0.1,2,-1.51338,17.8411
0,10000,1.3,0.125,2,-1.49085,16.4544
0,10000,1.3,0.15,2,-1.43122,13.0597
0,10000,1.3,0.175,2,-1.34906,7.8664
0,10000,1.3,0.2,2,-1.3344,8.428
0,10000,1.3,0.225,2,-1.33244,7.8081
0,10000,1.3,0.25,2,-1.26157,5.0361
0,10000,1.3,0.275,2,-1.22352,4.0271
0,10000,1.3,0.3,2,-1.20807,3.6535
