patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
2228629,1941-01-14,1938-12-20,USA,-97.742989,30.26759,,utility,Method of treating oil and gas wells ,Walter M Jarrell,,,Walter M. Jarrell,['Walter M. Jarrell'],,,1938,1958
2230001,1941-01-28,1939-04-14,USA,-122.419647,37.77713,,utility,Flooding process for recovering oils ,Shell Dev,,,Glenver McConnell,"['Glenver McConnell','Horace Vivian Steadman']",,,1939,1958
2254443,1941-09-02,1938-06-14,USA,-98.883675,48.674511,,utility,Method of treating wells ,Mabel E Richart,,,Jack Cc. Renfro,"['Jack Cc. Renfro','Gustaf E. Ostrom']",,,1938,1958
2255918,1941-09-16,1940-02-16,USA,-95.99353,36.150116,,utility,Well pump ,Harold R Downs,,,Harold R. Downs,['Harold R. Downs'],,,1940,1958
2261100,1941-10-28,1941-07-25,USA,-94.740608,32.500637,,utility,Brine injection method for oil wells ,Salt Water Control Inc,,,Ransome W. rwin,['Ransome W. rwin'],,,1941,1958
2261057,1941-10-28,1940-07-15,USA,-94.740608,32.500637,,utility,Emulsion treating and brine injection system for oil wells ,Salt Water Control Inc,,,Ransome Ww. Salt Water Control Inc.,['Ransome Ww. Salt Water Control Inc.'],,,1940,1958
2264037,1941-11-25,1937-02-03,USA,-78.650475,41.955864,,utility,Method of recovering oil ,Case Pomeroy & Company Inc,,,Richard M. Haskell,['Richard M. Haskell'],,,1937,1958
2265923,1941-12-09,1938-11-17,USA,-97.330864,32.75095,,utility,Process of treating oil and gas wells to increase production ,Joseph S Normand,,,Yoseph S. Nermaand,['Yoseph S. Nermaand'],,,1938,1958
2272672,1942-02-10,1936-03-23,USA,-79.850739,40.420353,,utility,Water flooding of oil fields ,Gulf Research Development Co,,,Harvey T. Kennedy,['Harvey T. Kennedy'],,,1936,1959
2290431,1942-07-21,1940-03-19,USA,-80.753426,40.877529,,utility,Extraction of fluids from the earth ,Louis A Hoffman,,,Louis A. Hoffman,['Louis A. Hoffman'],,,1940,1959
2335961,1943-12-07,1940-11-15,USA,-104.99202,39.740013,,utility,Device for heating paraffin in oil wells ,I C Miller,,,Alfred W. Pick,['Alfred W. Pick'],,,1940,1960
2347769,1944-05-02,1941-09-27,USA,-95.979034,36.746765,,utility,Secondary recovery apparatus ,Phillips Petrolcum Company,,,Wilbur J. Crites,['Wilbur J. Crites'],,,1941,1961
2347778,1944-05-02,1941-11-10,USA,-95.979034,36.746765,,utility,Method of recovering hydrocarbons ,Phillips Petroleum Co,,,Willis A. Heath,['Willis A. Heath'],,,1941,1961
2347779,1944-05-02,1942-04-07,USA,-95.979034,36.746765,,utility,Well apparatus ,Phillips Petroleum Co,,,Willis A. Heath,"['Willis A. Heath','Phillips Petroleum Company']",,,1942,1961
2348161,1944-05-02,1942-06-20,ITA,13.98722,37.483334,,utility,Salt water disposal system ,Shell Dev,,,Shell Development Company,"['Shell Development Company','Everett Norwood Van Duzee']",,,1942,1961
2352834,1944-07-04,1942-05-09,USA,-122.270538,37.869881,,utility,Method of and means for adjusting flow rates of fluids through formations traversed by boreholes ,Shell Dev,,,Gerald. L. Hassler,['Gerald. L. Hassler'],,,1942,1961
2357189,1944-08-29,1942-06-08,USA,-95.294289,32.34763,,utility,Flow regulation apparatus for brine injection wells ,Salt Water Control Inc,,,Ransome W. Erwin,['Ransome W. Erwin'],,,1942,1961
2365428,1944-12-19,1941-10-16,USA,-79.838768,40.522659,,utility,Recovery of oil from oil fields ,Gulf Research Development Co,,,Morris Muskat,['Morris Muskat'],,,1941,1961
2365591,1944-12-19,1942-08-15,USA,-81.854233,39.64883,,utility,Method for producing oil from viscous deposits ,Ranney Leo,,,Leo Ranney,['Leo Ranney'],,,1942,1961
2382471,1945-08-14,1941-03-03,USA,-95.979034,36.746765,,utility,Method of recovering hydrocarbons ,Phillips Petroleum Co,,,Frederick E. Frey,['Frederick E. Frey'],,,1941,1962
2385298,1945-09-18,1941-10-16,USA,-79.838768,40.522659,,utility,Recovery of oil from oil fields ,Gulf Research Development Co,,,Morris Muskat,['Morris Muskat'],,,1941,1962
2386036,1945-10-02,1943-09-06,USA,-94.583107,39.103436,,utility,Method for secondary recovery of oil ,Cross Roy,,,Roy Cross,['Roy Cross'],,,1943,1962
2390770,1945-12-11,1942-10-10,USA,-75.513275,40.133213,,utility,Method of producing petroleum ,Sun Oil Co,,,Paul D. Barton,"['Paul D. Barton','Patrick F. Dougherty']",,,1942,1962
2402588,1946-06-25,1940-09-14,USA,-78.650475,41.955864,,utility,Method of oil recovery ,Essex Royalty Corp,,,Kurt H. Andresen,['Kurt H. Andresen'],,,1940,1963
2412765,1946-12-17,1941-07-25,USA,-95.98082,36.747314,,utility,Recovery of hydrocarbons ,Phillips Petroleum Co,,,Edward Buddrus,"['Edward Buddrus','Samuel C. Carney']",,,1941,1963
2421528,1947-06-03,1944-07-26,USA,-118.378998,34.16983,,utility,Underground oil recovery ,Ralph M Steffen,,,Ralph M. Steffen,['Ralph M. Steffen'],,"1313276,968851,956058,1147280,1457479,1473348,2097883,2102559,2115378,2173556",1944,1964
