patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
10134171,2018-11-20,2014-09-29,US,-121.890594,37.336166,"G06T17/20,G06T1/20,G06T15/005,G06F15/16",utility,Graphics processing systems,Arm Limited,fl:da_ln:shreiner-1,David,Shreiner,[],13f05eea-16c8-11ed-9b5f-1234bde3cd05,,2014-09-29,0-0-0
10134169,2018-11-20,2010-08-12,US,-121.955177,37.354115,"G06T15/80,G06T15/005,G06F13/1605,G06T1/20,G09G5/363",utility,"Image loads, stores and atomic operations",NVIDIA CORPORATION,fl:je_ln:bolz-1,Jeffrey A.,Bolz,[],c1ee6332-16c7-11ed-9b5f-1234bde3cd05,8189009,2010-08-12,0-0-0
10134105,2018-11-20,2016-12-20,JP,139.63678,35.444996,"A61B1/00018,A61B1/00009,A61B1/00013,H04N2005/2255,G06T1/20,A61B1/045,H04N5/2256,A61B1/00045",utility,Medical signal processing device and medical observation system,SONY OLYMPUS MEDICAL SOLUTIONS INC.,fl:ta_ln:michihata-1,Taihei,Michihata,[],1d2251c8-16c8-11ed-9b5f-1234bde3cd05,"7292275,6016211,7587261,5649897,5878159,8449453,6697101",2016-12-20,0-0-0
10134103,2018-11-20,2016-03-29,US,-117.162766,32.717419,"G06T15/005,G06F9/48,G06T1/20",utility,GPU operation algorithm selection based on command stream marker,QUALCOMM Incorporated,fl:an_ln:acharya-2,Anirudh R.,Acharya,[],1893009c-16c8-11ed-9b5f-1234bde3cd05,8572573,2016-03-29,0-0-0
10134101,2018-11-20,2012-02-27,SE,12.704067,56.044201,"G06T15/405,G06T2210/52,G06T15/005,G06T1/20",utility,Using cost estimation to improve performance of tile rendering for image processing,Intel Corporation,fl:ra_ln:barringer-1,Rasmus,Barringer,[],f2f16756-16c7-11ed-9b5f-1234bde3cd05,"7307628,7659893,7502035,7961185,8004517,7426320,8497876,7023437,7023437",2012-02-27,0-0-0
10133713,2018-11-20,2016-06-08,US,-121.890594,37.336166,"G06F9/46,G06F16/901,G06F16/22,G06T1/20,G06F16/3329,G06F16/367,G06F40/151,G06F16/2228,G06F9/00,G06F40/284,G06F40/242",utility,Domain specific representation of document text for accelerated natural language processing,International Business Machines Corporation,fl:ra_ln:desai-11,Rajesh M.,Desai,[],13f05eea-16c8-11ed-9b5f-1234bde3cd05,"8612208,8219385,7027974,8548979,8429179,7702629,8887160,6327561",2016-06-08,0-0-0
10133610,2018-11-20,2016-08-16,US,-73.764854,41.159534,"G06F9/5016,G06F9/5094,G06T1/20,G06F3/0673,Y02D10/00,G06F3/061,G06F9/4893,G06F3/0653,G06T2200/28",utility,"System, method and recording medium for temperature-aware task scheduling",International Business Machines Corporation,fl:i-_ln:chung-10,I-Hsin,Chung,[],0ac6b21a-16c8-11ed-9b5f-1234bde3cd05,"8643676,8819686",2016-08-16,0-0-0
10133597,2018-11-20,2014-06-26,CN,121.469208,31.232279,"G06F9/52,G06F2009/45579,G06F9/45558,G06T1/20,G06F2009/4557,G06F9/4881,G06F9/522,G06F9/505,G06F9/455",utility,Intelligent GPU scheduling in a virtualization environment,Intel Corporation,fl:ku_ln:tian-7,Kun,Tian,[],35a7da9f-16c8-11ed-9b5f-1234bde3cd05,"8341624,8040901",2014-06-26,0-0-0
10133573,2018-11-20,2017-12-12,US,-122.419914,37.779026,"G06F9/3001,G06F9/3009,G06T1/20,G06F9/3885,G06F9/5066,G06F9/46,G06F9/30098",utility,Multivalue reductions using serial initial reductions in multiple register spaces and parallel subsequent reductions in a single register space,GOOGLE LLC,fl:er_ln:elsen-2,Erich Konrad,Elsen,[],4affd925-16c8-11ed-9b5f-1234bde3cd05,,2017-12-12,0-0-0
10133071,2018-11-20,2016-09-28,US,-117.612411,33.427029,"H04N9/3179,G02B2027/0178,G03H1/0005,G02B27/0172,G06T1/20,G02B27/0103,G02B27/01,H04N9/3129,G02B5/32,G02B27/62,G02B2027/0174",utility,Replaceable optical element for near eye display,Intel Corporation,fl:an_ln:wade-3,Andrew,Wade,[],c312e9ed-16c7-11ed-9b5f-1234bde3cd05,"5776286,7436560",2016-09-28,0-0-0
10134102,2018-11-20,2014-06-05,US,-118.242767,34.053688,"G06T1/60,G06T1/20,G06T15/005",utility,Graphics processing hardware for using compute shaders as front end for vertex shaders,"Advanced Micro Devices, Inc.",fl:ma_ln:cerny-3,Mark Evan,Cerny,[],15c69712-16c8-11ed-9b5f-1234bde3cd05,"8542247,7468726,8760460,6717577,6717577",2014-06-05,0-0-0
10140681,2018-11-27,2017-03-13,KR,126.831947,37.658184,"G06T1/60,G06T1/20",utility,Caching method of graphic processing unit,"INNODEP CO., LTD.",fl:ch_ln:kee-12,Changseo,Kee,[],6c4b5b92-16c8-11ed-9b5f-1234bde3cd05,"8327071,8368710",2017-03-13,0-0-0
10140958,2018-11-27,2016-11-17,FR,5.735782,45.187561,"G09G2360/18,G09G5/14,G06F2209/5011,G06T1/20,G09G5/005,G06F9/50,G09G2360/127,G06F3/1423,G06F9/5011,G09G5/363",utility,Managing multiple systems in a computer device,STMICROELECTRONICS ASIA PACIFIC PTE LTD.,fl:ra_ln:collado-2,Raphael,Collado,[],44dc94f0-16c8-11ed-9b5f-1234bde3cd05,"6725456,7949998",2016-11-17,0-0-0
10140679,2018-11-27,2016-12-31,IN,79.138145,10.786026,"G06T1/20,G09G5/393,G09G5/14,G09G2340/12,G06F3/14,G09G2320/103,G09G2330/021,G06T1/60,G09G2360/127,G09G2360/08",utility,Smart composition of output layers,Intel IP Corporation,fl:sr_ln:chinnadurai-1,Srinivasan,Chinnadurai,[],36ed689a-16c8-11ed-9b5f-1234bde3cd05,,2016-12-31,0-0-0
10140736,2018-11-27,2016-08-02,GB,0.118664,52.205532,"G06T11/203,G06T1/20,G06T17/00,G06T11/40",utility,Graphics processing systems,Arm Limited,fl:ch_ln:doran-2,Christopher John Leslie,Doran,[],21057cd0-16c8-11ed-9b5f-1234bde3cd05,,2016-08-02,0-0-0
