latitude;longitude;population
40,0706;-82,425;79959
45,0225;-93,4617;79918
33,6712;-85,8135;79717
33,45;-94,0847;79570
33,7311;-117,8107;79514
26,1685;-98,1904;79434
42,9821;-82,4388;79363
37,5053;-120,8588;79301
38,5737;-121,2527;79128
28,9034;-81,9887;79108
37,4336;-121,8921;79092
33,7898;-117,2233;78881
34,1178;-117,6604;78847
38,9037;-90,152;78729
37,6663;-121,8805;78691
25,6697;-80,3556;78402
35,8212;-90,6791;78379
33,888;-118,1271;78352
42,2985;-85,2296;78338
33,9508;-117,7254;78223
41,135;-104,7902;78204
40,3412;-76,4228;78147
38,6318;-121,3263;78144
40,557;-111,9784;78118
38,5553;-121,737;77874
37,7031;-85,8773;77770
42,0308;-88,0838;77571
37,7668;-122,267;77565
41,6168;-87,4909;77390
46,2506;-119,1305;77274
42,0464;-87,6943;77181
40,4136;-111,8725;77110
31,2923;-92,4702;77109
27,0576;-82,1977;76975
42,0955;-87,9826;76794
34,223;-119,0321;76748
42,8908;-85,7066;76732
33,0343;-97,1146;76630
40,6266;-75,3679;76555
31,3074;-89,317;76501
40,4166;-105,0623;76500
38,0182;-121,8965;76419
30,5105;-97,8197;76344
47,436;-120,3295;76152
42,4765;-83,2605;76107
42,6645;-83,1563;76041
30,5061;-90,4563;76032
30,8502;-83,2788;75919
37,7575;-87,1172;75644
34,5352;-117,2109;75603
44,9057;-92,923;75549
41,8744;-71,3743;75176
39,7598;-94,821;75033
25,8152;-80,3565;74891
43,1887;-70,8845;74554
29,563;-95,5365;74517
43,0674;-73,7775;74339
42,8724;-112,4647;74284
44,0227;-88,5619;74251
41,6759;-72,7862;74212
39,3763;-104,8535;74065
26,1605;-80,2241;73987
39,9542;-105,0526;73946
38,6473;-77,3459;73928
41,6901;-88,1021;73755
47,6763;-122,1169;73728
18,2319;-66,0388;73713
32,569;-97,1213;73680
39,2774;-76,8345;73589
43,7403;-87,7316;73531
40,7656;-82,5275;73448
43,3109;-73,6458;73424
29,1995;-81,0982;73329
38,1218;-121,2932;73239
34,0512;-117,1712;73234
38,4362;-78,8735;73160
31,2336;-85,407;73037
35,1817;-84,8707;72870
35,6538;-88,8354;72836
40,9136;-73,8291;72817
38,839;-77,4389;72680
40,5082;-78,4007;72348
42,3085;-71,4368;71805
39,9361;-75,1073;71799
30,666;-97,6966;71788
34,0829;-117,9722;71692
38,8075;-121,2489;71676
36,0643;-119,0338;71669
26,2056;-80,2539;71578
39,156;-76,6071;71427
37,23;-80,4279;71277
44,962;-89,6459;71236
33,9392;-80,393;71234
42,6854;-89,0135;71202
31,1449;-81,4746;71160
37,7161;-121,8963;71068
39,7415;-75,5416;71034
43,0087;-88,2464;70945
64,8353;-147,6533;70817
44,6774;-93,252;70696
38,7954;-90,5157;70687
33,8577;-118,3765;70620
35,7437;-86,9116;70531
40,6668;-74,1158;70497
47,9214;-97,0884;70475
40,0355;-86,0042;70442
18,3832;-66,1134;70167
35,6394;-120,656;70128
32,8604;-97,218;70114
45,1089;-93,4626;70110
40,8574;-74,1282;70048
45,1696;-93,2077;70047
33,6847;-117,3344;69993
36,317;-94,1531;69961
32,3423;-111,0113;69917
33,6273;-96,6221;69880
37,9024;-122,0399;69809
35,0753;-92,4692;69651
33,9617;-117,5803;69594
37,6032;-122,0181;69502
41,7092;-86,869;69459
28,1217;-81,4821;69311
36,1995;-119,34;69261
41,5905;-87,3473;69136
39,1346;-77,2131;69016
40,7651;-74,2117;68879
28,2106;-82,3238;68814
41,5521;-93,7806;68744
34,769;-84,972;68614
42,5002;-90,707;68601
42,8025;-73,9275;68476
41,7288;-93,6031;68392
33,0408;-112,0011;68376
44,817;-93,1638;68262
36,3274;-119,6549;68122
36,5572;-82,2154;68083
33,889;-117,7714;68035
26,1006;-80,4054;68029
36,9206;-121,7708;68020
37,3905;-122,1468;67901
47,1198;-122,2853;67835
39,0158;-94,8076;67671
29,8734;-97,9356;67491
47,5022;-111,2996;67300
42,7838;-71,0871;67273
40,7675;-74,0323;67258
42,118;-88,043;67223
46,1461;-122,963;67203
44,5698;-123,2779;67187
39,0834;-77,1553;67142
42,036;-87,74;67076
48,4203;-122,3115;66896
42,842;-106,3208;66876
42,0256;-93,6217;66729
26,455;-80,0905;66646
47,6017;-122,0416;66586
33,924;-118,2016;66346
39,2704;-76,4942;66321
38,9866;-77,1188;66316
36,2043;-83,3001;66220
18,0532;-66,5044;66208
41,102;-87,8643;66065
18,3331;-65,6589;66022
34,0704;-84,2738;65884
42,4786;-83,4893;65870
30,0109;-90,2549;65785
43,5902;-83,8887;65704
28,8287;-96,9849;65656
37,6538;-122,4196;65596
35,7237;-78,8743;65541
39,2623;-81,542;65524
42,4305;-71,0576;65463
37,7088;-122,0626;65444
45,6833;-111,0558;65279
40,7839;-73,2522;65042
42,3889;-71,2423;64711
30,4515;-97,6018;64528
34,7807;-92,2371;64454
37,9356;-121,719;64443
33,5275;-117,705;64259
33,4499;-117,6102;64232
44,7648;-93,2793;64075
30,0613;-95,383;63930
26,9918;-82,114;63913
44,8488;-93,4595;63623
39,6019;-86,1073;63579
40,6892;-111,8292;63520
41,1485;-95,939;63336
45,1755;-93,3094;63296
32,9155;-96,5489;63291
39,3939;-84,5653;63149
47,1628;-122,5299;63142
33,9682;-118,2447;63132
39,8641;-104,843;63050
32,5224;-93,6668;62971
42,226;-83,2688;62937
33,9282;-117,9515;62904
29,1085;-81,0137;62849
35,3293;-97,4757;62685
41,2369;-95,8516;62670
30,5728;-97,8618;62491
42,3164;-83,2769;62474
38,9497;-77,3461;62339
34,0155;-118,1108;62056
42,6493;-83,2878;61965
33,0492;-117,261;61942
33,2454;-111,6173;61788
42,4234;-71,1087;61748
44,0538;-122,9811;61740
36,3063;-86,5997;61589
28,0847;-82,7481;61589
33,9901;-118,0888;61561
33,9533;-84,5422;61387
26,6461;-80,2699;61373
28,7891;-81,2757;61272
38,6712;-121,75;61227
43,6453;-116,6594;61212
35,406;-80,8716;61202
41,6812;-72,9407;61052
26,92;-80,1128;60926
37,9905;-122,5221;60891
32,7703;-117,0204;60888
46,2824;-119,2939;60867
42,4189;-71,004;60577
41,5369;-72,7946;60556
34,0497;-118,1326;60386
33,8943;-118,3072;60377
32,8508;-97,08;60360
42,0345;-87,9008;60087
43,0068;-88,0296;59907
25,9008;-80,1686;59854
28,2363;-81,2779;59851
25,67;-80,4482;59843
37,3168;-122,0466;59763
40,6569;-111,9493;59729
38,2423;-122,6266;59682
40,464;-86,1277;59534
32,8554;-116,9851;59497
33,6842;-84,1372;59445
41,9036;-71,0943;59436
41,022;-73,7547;59421
26,8466;-80,1679;59088
35,9271;-79,0391;58919
40,7452;-74,0281;58754
39,5084;-104,7753;58733
39,0124;-94,2721;58720
47,7564;-122,3426;58673
42,4925;-82,8961;58656
28,4417;-81,6146;58595
26,2466;-80,2119;58396
41,6075;-87,8619;58345
39,1511;-119,7476;58249
35,463;-97,371;58124
42,5084;-83,1539;58053
38,9549;-76,7406;57922
39,6956;-84,1494;57707
38,7825;-90,6061;57692
41,7139;-87,7528;57665
39,3944;-76,619;57617
26,2803;-80,1842;57574
34,5731;-86,9905;57525
38,9609;-94,8018;57497
35,2337;-89,8195;57481
33,9336;-118,0312;57383
34,5006;-114,3113;57294
39,5022;-76,3113;57109
25,7723;-80,346;57066
33,0362;-96,5161;57063
34,7114;-86,7626;56967
33,8743;-84,3314;56848
34,1113;-117,165;56789
33,7105;-117,9514;56754
41,8433;-87,7909;56556
39,1355;-76,6956;56438
44,6272;-123,0965;56348
32,6654;-117,0983;56345
47,0462;-122,7933;56263
42,0641;-87,9375;56191
34,1342;-118,0373;56181
32,5992;-96,8633;55882
33,8633;-84,5168;55863
27,4901;-82,5757;55795
40,487;-74,445;55718
44,7457;-93,2004;55594
41,567;-87,8049;55571
27,3387;-82,5432;55508
33,997;-117,9727;55461
42,1764;-72,5719;55441
41,2739;-72,9672;55336
40,4899;-112,017;55301
40,5202;-74,2724;55226
32,9069;-111,7624;55186
45,4237;-122,7845;55161
28,7015;-81,5316;55056
34,9514;-89,9786;54908
33,98;-118,2167;54547
33,9992;-117,8161;54534
36,3547;-94,2305;54513
34,0336;-117,0429;54428
40,6154;-74,4157;54358
39,1886;-96,6048;54287
39,0927;-77,0826;54262
35,9685;-77,804;54260
42,5335;-70,9725;54204
38,5557;-121,5505;54163
33,797;-116,9916;54077
42,8852;-85,5926;54042
34,0538;-117,3255;53959
41,8872;-87,7899;53834
25,7471;-80,3523;53765
35,9687;-86,5264;53760
41,8561;-88,1085;53673
33,9076;-116,9766;53544
45,492;-122,8725;53532
44,9322;-93,4598;53529
27,8589;-82,7078;53352
35,4764;-80,6408;53314
33,8977;-118,1651;53255
29,4154;-94,9682;53084
38,092;-122,5575;53055
44,8914;-93,3602;53037
40,5217;-88,9884;52920
25,7556;-80,4016;52851
40,9218;-98,3586;52822
42,734;-71,1889;52812
41,376;-82,106;52780
39,0492;-77,0573;52775
25,7081;-80,4078;52661
32,4355;-111,1558;52542
40,7857;-74,0094;52438
42,5645;-114,4613;52315
38,7996;-90,3269;52167
34,1449;-117,8467;52095
33,8362;-116,4642;51964
33,5792;-117,7289;51896
33,8807;-117,8553;51797
42,064;-88,1468;51744
47,4762;-122,3394;51505
33,9418;-84,3122;51458
33,7378;-116,3695;51290
42,7354;-73,6751;51268
35,047;-89,6987;51170
40,1533;-74,8531;51152
34,0689;-118,0823;51043
25,9407;-80,3102;50975
36,4063;-97,87;50961
41,1641;-81,5207;50916
41,6742;-86,1666;50899
39,2093;-85,9183;50896
33,0016;-80,1799;50839
40,7241;-73,5125;50804
32,9343;-97,0742;50763
34,0903;-117,8818;50717
41,2255;-73,0625;50664
40,4957;-111,8605;50635
41,4822;-81,8008;50605
32,3046;-110,8838;50573
35,7662;-119,2635;50498
38,8774;-121,2937;50131
40,6498;-111,8874;50041
35,5847;-80,8266;50025
41,7949;-88,0172;49996
38,4832;-121,4043;49992
33,8171;-118,0386;49955
38,3376;-85,7026;49771
39,0393;-77,1191;49763
34,1386;-117,9124;49704
25,7037;-80,2715;49696
38,6589;-90,5803;49645
38,9436;-77,1943;49587
44,9488;-93,3649;49500
21,2975;-157,7211;49491
32,8464;-97,135;49455
41,5903;-81,5188;49279
39,8674;-85,9904;49218
37,5952;-120,962;49183
28,0771;-82,4335;49148
30,4426;-88,9514;49141
38,675;-121,049;49082
33,8678;-118,0686;49016
32,517;-97,3344;48970
42,2;-85,5906;48936
40,1112;-83,1454;48893
32,9871;-117,0201;48737
32,581;-96,9591;48733
42,4064;-71,0545;48685
36,1317;-97,0742;48644
28,5727;-80,8193;48595
43,0921;-79,0147;48502
29,9932;-97,8852;48484
39,1057;-77,5544;48465
40,0341;-86,1529;48262
33,1858;-96,9295;48241
41,5476;-72,6549;48152
38,6713;-121,3721;48083
37,5878;-77,5858;48049
35,9632;-78,514;48047
48,2375;-101,278;48038
33,373;-104,5294;48035
43,0616;-88,0347;47919
47,7735;-122,2044;47917
42,0825;-87,8214;47896
32,9169;-96,4374;47859
35,7311;-77,9284;47767
33,6318;-117,5988;47702
33,9025;-118,0093;47644
38,7153;-121,361;47629
19,6883;-155,0863;47627
35,2669;-120,669;47529
42,5074;-82,9369;47476
37,5201;-122,0307;47470
41,6893;-81,3362;47302
28,5796;-81,5332;47290
33,9716;-117,8912;47209
27,4255;-80,3431;47153
33,9254;-117,8655;47099
32,4208;-110,9767;47053
41,8065;-71,3565;47012
21,4031;-157,9566;46812
38,8136;-97,6143;46734
39,731;-84,0624;46576
28,5421;-81,5967;46518
39,0141;-77,1943;46499
